game_id,inning,batting_team,batter,pitch_sequence,event_text,ejection_flag,ejectee,job_code,ump_id,reason
ANA200004240,9,1,kenna001,FBFX,3(B)3(1)/LDP,ej,madlb001,C,welkb901,Balls and strikes
ANA200004240,2,0,polol001,X,46(1)/FO,ej,mansd801,C,culbf901,Call at 2B (Bumped umpire)
ANA200004240,5,1,glaut001,CCX,63/G,ej,garnp001,M,welkb901,Balls and strikes
ANA200005100,3,1,salmt001,BBX,63/G,ej,hatcm001,C,clara901,Fan interference call
ANA200007040,3,0,hendr001,CCFC,K/C,ej,hendr001,P,welkb901,Called third strike
ANA200007290,9,0,konep001,CFC,K/C,ej,konep001,P,scotd901,Balls and strikes
ARI200004190,6,1,harrl001,FX,43/G,ej,buttb801,C,monte901,Balls and strikes
ARI200005060,3,1,fox-a001,CBSBC,K/C,ej,smitd001,C,reedr901,Balls and strikes (from bench)
ARI200005300,8,0,dunss001,CBBCFBX,T9/89D.BXH(962),ej,dunss001,P,gibsg901,Call at HP
ARI200006200,5,1,bellj001,FCC,K/C,ej,bellj001,P,eddid901,Balls and strikes
ARI200006270,9,1,stink001,FFBX,D7/7S.3-H;2-H;1-H,ej,melum001,P,iassd901,Call at HP (while catching)
ARI200007010,5,1,womat001,BH,HP,ej,aybam001,P,emmep901,Intentional HBP
ATL200004260,8,0,shefg001,BFFS,K,ej,shefg001,P,tscht901,Balls and strikes
ATL200005210,7,1,furcr001,SX,3/G,ej,bochb002,M,joycj901,Balls and strikes
ATL200005210,7,1,furcr001,SX,3/G,ej,walkk001,P,joycj901,Balls and strikes
ATL200006060,5,0,casta001,BCBFFFFC,K/C,ej,casta001,P,laynj901,Called third strike
ATL200006240,1,0,grism001,CC,BK.1-2,ej,cox-b103,M,shulj901,Balk call
ATL200007040,9,1,lockk001,X,7/F7,ej,cox-b103,M,cousd901,Balls and strikes (bumped umpire)
ATL200007060,9,1,galaa001,BX,S8.2-H,ej,alouf101,M,nelsj901,Checked swing
ATL200009070,6,0,bellj001,CX,63/G,ej,bellj001,P,coope901,Call at 1B
ATL200009300,9,0,petrb001,X,9/F9,ej,bellb001,M,younl901,Balls and strikes
BAL200004050,2,1,andeb001,BBCSBS,K,ej,manuc101,M,rapue901,Balls and strikes
BAL200004060,5,1,bellj002,BBFX,64(1)/FO,ej,manuc101,M,millb901,Balls and strikes
BAL200004280,1,1,surhb001,CSBFC,K/C,ej,surhb001,P,lampi901,Called third strike
BAL200005270,4,1,surhb001,CBBX,8/F8,ej,hargm001,M,marqa901,Balls and strikes
BAL200007150,5,1,andeb001,SCC,K/C,ej,andeb001,P,emmep901,Called third strike
BAL200008300,8,0,easld001,CBCBFC,K/C,ej,easld001,P,higgs901,Balls and strikes
BAL200009150,3,0,buhnj001,CBBCC,K/C,ej,buhnj001,P,fostm901,Called third strike
BAL200009180,5,0,longt002,BCBX,13/G,ej,andeb001,P,mealj901,Balls and strikes
BOS200005310,2,0,damoj001,BSFBX,D9/9LD.3-H;1-H;B-3(THH),ej,willj107,M,crawj901,Fan interference non-call
BOS200006200,6,0,knobc001,BLX,2/BG/BINT.1-1,ej,knobc001,P,younl901,Interference call
BOS200006280,10,1,varij001,CSX,7/F7,ej,willj107,M,reynj901,Balls and strikes
BOS200007140,7,1,everc001,BFH,HP.1-2,ej,cookd001,P,fostm901,Arguing HBP
BOS200007150,2,0,moram002,BC,CS2(24),ej,everc001,P,kulpr901,Bumping umpire during argument
BOS200007230,7,1,lewid001,CBSBFX,53/G,ej,joshv101,C,bellw901,Balls and strikes
BOS200007230,7,1,lewid001,CBSBFX,53/G,ej,manuj101,M,onorb901,Balls and strikes
BOS200009201,7,1,daubb001,FSBX,43/G,ej,willj107,M,riekr901,Foul tip call
BOS200009211,7,0,loftk001,BX,53/G,ej,manuc101,M,barkl901,Call at 1B
CHA200004190,5,0,buhnj001,CBFFFBBC,K/C,ej,buhnj001,P,welkb901,Called third strike
CHA200004220,6,1,lee-c001,H,HP,ej,weavj002,P,everm901,Intentional HBP
CHA200004220,7,0,palmd002,H,HP,ej,ordom001,P,crawj901,Bench-clearing brawl (1st of 2)
CHA200004220,7,0,palmd002,H,HP,ej,simab001,P,crawj901,Bench-clearing brawl (1st of 2)
CHA200004220,7,0,palmd002,H,HP,ej,fickr001,P,crawj901,Bench-clearing brawl (1st of 2)
CHA200004220,7,0,palmd002,H,HP,ej,palmd002,P,crawj901,Bench-clearing brawl (1st of 2)
CHA200004220,7,0,palmd002,H,HP,ej,pattd001,P,crawj901,Bench-clearing brawl (1st of 2)
CHA200004220,7,0,palmd002,H,HP,ej,manuj101,M,crawj901,Bench-clearing brawl (1st of 2)
CHA200004220,9,0,cruzd001,CBH,HP,ej,sturt001,P,everm901,Intentional HBP
CHA200004220,9,0,cruzd001,CBH,HP,ej,nossj101,C,everm901,Intentional HBP
CHA200004220,9,0,cruzd001,CBH,HP,ej,brocd001,P,crawj901,Bench-clearing brawl (2nd of 2)
CHA200004220,9,0,halts001,FFBBFH,HP.1-2,ej,howrb001,P,everm901,Intentional HBP
CHA200006250,4,0,oneip001,BCBCS,K,ej,oneip001,P,craft901,Balls and strikes
CHA200008081,7,1,abboj002,FSFX,43/G.2-3,ej,abboj002,P,cousd901,Call at 1B
CHA200008180,6,0,mcgrf001,BBCX,153/G.1-2,ej,cardj101,C,barkl901,Call at 1B
CHA200009130,4,0,palmd002,CFBFBBC,K/C,ej,palmd002,P,guccc901,Called third strike
CHN200004300,9,1,sosas001,CFBBBC,K/C,ej,sosas001,P,millb901,Called third strike
CHN200005080,4,1,liebj001,CBBX,43/G,ej,loped001,M,meric901,Balls and strikes
CHN200005200,1,1,martd002,CB,CS2(26),ej,youne001,P,coope901,Call at 2B
CHN200005290,7,0,jonec004,FFBFC,K/C,ej,cox-b103,M,eddid901,Balls and strikes
CHN200005290,7,0,jonec004,FFBFC,K/C,ej,jonec004,P,eddid901,Balls and strikes
CHN200007230,13,1,sosas001,BSSBBFX,S7.2-H;1-2,ej,loped001,M,lampi901,Balls and strikes
CHN200008150,3,0,vinaf001,CCC,K/C,ej,vinaf001,P,danlk901,Balls and strikes
CHN200008150,6,1,bufod001,BBCFBS,K,ej,bayld001,M,dimum901,Balls and strikes
CHN200008270,5,0,goodt001,BBCCFC,K/C,ej,johnd105,M,wegnm901,Arguing warning on Valdes
CHN200008270,5,1,gracm001,BBBCH,HP,ej,tracj101,C,wegnm901,Intentional HBP
CHN200008270,5,1,gracm001,BBBCH,HP,ej,valdi001,P,wegnm901,Intentional HBP
CIN200004090,9,0,giraj001,X,S7/78.BX2(74),ej,giraj001,P,reynj901,Call at 2B
CIN200005070,8,0,dunss001,FBBCS,K,ej,dunss001,P,shulj901,Balls and strikes
CIN200007090,8,1,grifk002,BCBSFC,K/C,ej,grifk002,P,klemj901,Balls and strikes
CLE200004300,8,1,alomr001,H,HP,ej,martp001,P,tscht901,Intentional HBP
CLE200004300,8,1,alomr001,H,HP,ej,willj107,M,tscht901,Intentional HBP by Martinez
CLE200006120,7,1,frymt001,SBBBCX,23/G,ej,frymt001,P,meric901,Fair/foul call on check swing
CLE200009010,2,1,aloms001,BX,64(2)4(1)3(B)/TP,ej,manuc101,M,shulj901,Infield fly non-call
CLE200009140,7,1,frymt001,BCSBS,K,ej,manuc101,M,coope901,Checked swing for strike three
CLE200009251,6,0,ordom001,CX,64(1)/FO,ej,aloms001,P,welkt901,Leaving bench during altercation
CLE200009300,7,1,alomr001,CBBBX,HR/7,ej,fregj101,M,reynj901,Fair/foul call
COL200006260,4,1,heltt001,BFBBB,W,ej,hammj001,P,monte901,Balls and strikes
COL200006270,9,0,kentj001,BX,64(1)3/GDP,ej,bellb001,M,laynj901,Unknown reason
COL200007130,8,1,walkl001,BBH,HP,ej,bellb001,M,demud901,Protesting Intentional HBP
COL200007130,9,0,taube001,BBH,HP,ej,jimej001,P,carlm901,Intentional HBP
COL200007150,7,1,huntb002,H,HP,ej,sulls001,P,eddid901,Intentional HBP
COL200007150,7,1,huntb002,H,HP,ej,bellb001,M,eddid901,Intentional HBP
COL200007150,7,1,huntb002,H,HP,ej,heltt001,P,eddid901,Bench-clearing brawl
COL200007150,7,1,huntb002,H,HP,ej,huntb002,P,eddid901,Charging the mound after HBP
COL200007230,7,1,astap001,FX,6(1)/FO/G.2-3,ej,bochb002,M,timmt901,Call at 2B
COL200008060,6,1,walkl001,H,HP.1-2,ej,bellb001,M,everm901,Warning to both teams after HBP
COL200008220,11,0,galaa001,BFSBFBH,HP,ej,galaa001,P,monte901,Charging mound after HBP
COL200008220,11,0,galaa001,BFSBFBH,HP,ej,bellb001,M,monte901,Intentional HBP
COL200008220,11,0,galaa001,BFSBFBH,HP,ej,wasdj001,P,monte901,Intentional HBP
COL200009100,5,0,grees001,SBBX,D/89.1-H,ej,bellb001,M,lampi901,Call at HP
DET200006270,5,0,turnc001,FCBBBX,46(1)3/GDP,ej,torrj101,M,diazl901,Call at 1B
DET200006270,5,0,turnc001,FCBBBX,46(1)3/GDP,ej,zimmd101,C,diazl901,Call at 1B
DET200008240,7,1,cruzd001,CBFFC,K/C,ej,pinil001,M,rungb901,Balls and strikes
DET200009020,8,1,easld001,BCBBCX,6/P6,ej,haseb001,P,scotd901,Balls and strikes (while catching)
DET200009180,9,0,gilkb001,BCFFS,K,ej,joshv101,C,hirsj901,Balls and strikes
FLO200004260,7,1,floyc001,BFBSS,K,ej,floyc001,P,fichm901,Balls and strikes
FLO200005200,5,1,lee-d002,CBX,3/L3,ej,taylt101,C,wendh902,Balls and strikes
FLO200006200,4,0,hayec001,SFC,K/C,ej,hayec001,P,timmt901,Balls and strikes
FLO200007220,3,0,widgc001,BB,BK.1-2,ej,bolej801,M,welkb901,Balk call
FLO200008150,8,0,shefg001,SCBC,K/C,ej,shefg001,P,iassd901,Called third strike
FLO200008160,6,1,bergd002,CBBX,9(B)46(1)/FDP/AP,ej,bolej801,M,hirsm901,Call at 2B (appeal play)
HOU200005140,5,0,cases001,SCFBFBC,K/C,ej,cases001,P,vanvm901,Balls and strikes
HOU200005140,5,0,cases001,SCFBFBC,K/C,ej,oestr001,C,vanvm901,Balls and strikes
HOU200005250,2,1,ceder001,BBX,63/G,ej,frant001,M,eddid901,Balls and strikes
HOU200005250,9,0,sefck001,CBBX,43/G.2-3,ej,cottc101,C,relic901,Call at 1B
HOU200006040,8,1,camik001,CBBFBC,K/C,ej,camik001,P,morrd901,Balls and strikes
KCA200005260,8,0,salmt001,FX,D7,ej,andeg001,P,randt901,Balls and strikes
KCA200005260,8,0,salmt001,FX,D7,ej,sciom001,M,randt901,Balls and strikes
KCA200007020,1,1,reboj001,BCCBS,K+CS2(26)/DP,ej,muset101,M,wintm901,Call at 2B (Bumped umpire)
KCA200007050,6,1,zaung001,BFCX,S.2X2(4)#,ej,muset101,M,mckej901,Call at 2B
KCA200008100,6,0,stews002,BCBFBS,K,ej,fregj101,M,everm901,Checked swing
KCA200008130,4,1,dye-j001,B,WP.1-2,ej,hargm001,M,hudsm901,Balls and strikes
LAN200005260,6,1,karre001,BX,D9/9D.2-H(UR),ej,johnd105,M,gibsg901,Arguing ball off top of wall was HR
LAN200006080,8,0,aloum001,CX,63/G,ej,aloum001,P,mealj901,Call at 1B
LAN200007190,6,0,walkl001,SBBBSC,K/C,ej,walkl001,P,higgs901,Called third strike
LAN200008180,8,1,hundt001,BCBBCC,K/C,ej,hundt001,P,everm901,Called third strike
LAN200009280,8,1,shefg001,CBCBBFC,K/C,ej,shefg001,P,guccc901,Called third strike
MIL200005040,6,0,bellj001,BBX,4/P4,ej,connm801,C,joycj901,Checked swing
